ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.019171101972460747,0.0022149700671434402,0.04262389615178108,0.12393686175346375,0.8120531439781189
2,0.6595562696456909,0.0010263759177178144,0.01768980734050274,0.2669405937194824,0.054786961525678635
3,0.5153313875198364,0.0019907213281840086,0.035880740731954575,0.22099599242210388,0.22580116987228394
4,0.14524926245212555,0.00473710335791111,0.08698242902755737,0.05677320435643196,0.7062580585479736
5,0.5978591442108154,0.0009706811397336423,0.004175679758191109,0.3239624500274658,0.07303205877542496
6,0.19079947471618652,0.0014610843500122428,0.01864253357052803,0.6418164968490601,0.14728039503097534
7,0.11297247558832169,0.02596239559352398,0.6375177502632141,0.050437796860933304,0.17310954630374908
8,0.7872376441955566,0.010456571355462074,0.012253526598215103,0.009851784445345402,0.18020054697990417
9,0.9172919988632202,0.0004033918085042387,0.0014341773930937052,0.021692203357815742,0.05917824059724808
10,0.5894884467124939,0.0019917862955480814,0.05111051723361015,0.2791728973388672,0.07823636382818222
11,0.8387250304222107,0.0008717750897631049,0.002483021467924118,0.08594483882188797,0.07197536528110504
12,0.016574231907725334,0.001965311821550131,0.36361682415008545,0.1964339017868042,0.4214097261428833
13,0.7336249947547913,0.002515518805012107,0.013520211912691593,0.06624782830476761,0.18409141898155212
14,0.6255173683166504,0.0010335200931876898,0.003325164318084717,0.31127092242240906,0.05885298177599907
15,0.7372309565544128,0.0005939420661889017,0.010742339305579662,0.21123340725898743,0.04019935801625252
16,0.7655323147773743,0.0012272982858121395,0.003582850331440568,0.09648216515779495,0.13317540287971497
17,0.35773786902427673,0.0011170972138643265,0.08092006295919418,0.477975070476532,0.08224986493587494
18,0.4674326479434967,0.0011414758628234267,0.008476481772959232,0.4908815920352936,0.03206782788038254
19,0.24723131954669952,0.0034634252078831196,0.03701534494757652,0.21664606034755707,0.49564388394355774
20,0.03546440228819847,0.0052337367087602615,0.2982061803340912,0.05911976844072342,0.6019758582115173
21,0.37813135981559753,0.001539359800517559,0.03251487761735916,0.2093762457370758,0.3784380853176117
22,0.0005392937455326319,0.0050321402959525585,0.04634716361761093,0.0032804259099066257,0.9448009729385376
23,0.4512277841567993,0.0011766955722123384,0.013787446543574333,0.1066197007894516,0.42718830704689026
24,0.0009494779515080154,0.000660597113892436,0.04474495351314545,0.000762985204346478,0.9528819918632507
25,0.5508115291595459,0.001185129047371447,0.021635808050632477,0.23402820527553558,0.19233934581279755
26,0.44134843349456787,0.0029858355410397053,0.026511909440159798,0.10421495139598846,0.4249389171600342
27,0.9718030691146851,0.0006355022778734565,0.0020408579148352146,0.003855734830722213,0.021664798259735107
28,0.14245548844337463,0.04666454344987869,0.14355485141277313,0.08278249204158783,0.5845426321029663
29,0.4761735200881958,0.0012899196008220315,0.05169408395886421,0.3574221134185791,0.11342030763626099
30,0.40858107805252075,0.001026440761052072,0.023705027997493744,0.4562966227531433,0.11039084941148758
31,0.378743052482605,0.001858623349107802,0.02017292007803917,0.3802669048309326,0.21895845234394073
32,0.8875759243965149,0.002998026553541422,0.0018261936493217945,0.02464340813457966,0.08295644074678421
33,0.21999017894268036,0.0016586652491241693,0.04620860144495964,0.17504370212554932,0.5570988655090332
34,0.9803870320320129,0.000809903722256422,0.0011656831484287977,0.007025779690593481,0.01061162631958723
35,0.4687435030937195,0.002751551801338792,0.05407478287816048,0.004028052091598511,0.4704020917415619
36,0.585877001285553,0.0016210100147873163,0.017821040004491806,0.2415861338376999,0.1530947983264923
37,0.15563344955444336,0.026458734646439552,0.1310935616493225,0.029949966818094254,0.6568643450737
38,0.921632707118988,0.0006877133273519576,0.0014461237005889416,0.04362407699227333,0.03260938450694084
39,0.38500097393989563,0.0008910549222491682,0.011480295099318027,0.5138735771179199,0.0887540876865387
40,0.5784958600997925,0.0011210055090487003,0.02149718813598156,0.1743871420621872,0.22449879348278046
41,0.0776185393333435,0.0032232932280749083,0.022409217432141304,0.4139989912509918,0.48274990916252136
42,0.0007080151117406785,0.0053781005553901196,0.010752524249255657,0.001089931931346655,0.9820714592933655
43,0.3376007378101349,0.003284918377175927,0.016646724194288254,0.054309193044900894,0.5881584286689758
44,0.0010812081163749099,0.026729511097073555,0.019900308921933174,0.001733234734274447,0.9505557417869568
45,0.261136919260025,0.0020730108954012394,0.05360858514904976,0.2960238754749298,0.3871575891971588
46,0.3660275340080261,0.0013333340175449848,0.01051268633455038,0.27205175161361694,0.3500746488571167
47,0.24114352464675903,0.0036769870202988386,0.061613887548446655,0.2620871365070343,0.43147844076156616
